mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.017861366271972656,0.0005102291655041836,0.008642037709554037,0.00031788068991608237,3,1,2,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}",0.3709677419354839,0.4069767441860465,0.23076923076923078,0.33623790563025374,0.07601268794736567,24
0.01987139383951823,0.0017277067035606337,0.008049647013346354,0.0012008026839501042,3,1,5,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}",0.3709677419354839,0.4069767441860465,0.23076923076923078,0.33623790563025374,0.07601268794736567,24
0.02223857243855794,0.0021394401653648653,0.008214473724365234,0.0008275149516277524,3,1,10,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}",0.3709677419354839,0.4069767441860465,0.23076923076923078,0.33623790563025374,0.07601268794736567,24
0.022153854370117188,0.000619291697016324,0.007350603739420573,0.0012363962607588293,3,2,2,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2}",0.3709677419354839,0.4069767441860465,0.23076923076923078,0.33623790563025374,0.07601268794736567,24
0.022240161895751953,0.0003808734127177064,0.005804777145385742,0.0003543311330956258,3,2,5,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5}",0.3709677419354839,0.4069767441860465,0.23076923076923078,0.33623790563025374,0.07601268794736567,24
0.01935728391011556,0.0019914859472900492,0.007442394892374675,0.0012249262955954514,3,2,10,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10}",0.3709677419354839,0.4069767441860465,0.23076923076923078,0.33623790563025374,0.07601268794736567,24
0.018410444259643555,0.0008879121672756747,0.007520437240600586,0.0011233156063460618,3,4,2,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.3709677419354839,0.4069767441860465,0.23076923076923078,0.33623790563025374,0.07601268794736567,24
0.02292482058207194,0.0006040221446031006,0.006986856460571289,0.0012322083115808955,3,4,5,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5}",0.3709677419354839,0.4069767441860465,0.23076923076923078,0.33623790563025374,0.07601268794736567,24
0.021859089533487957,0.0017604174169292728,0.0075329939524332685,0.0010276472527578735,3,4,10,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10}",0.3709677419354839,0.4069767441860465,0.23076923076923078,0.33623790563025374,0.07601268794736567,24
0.026439984639485676,0.00017713247143334176,0.008196433385213217,0.0005318218194240818,5,1,2,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}",0.33587786259541985,0.3937007874015748,0.44274809160305345,0.39077558053334943,0.04367859192214914,2
