mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.02566830317179362,0.005184427231336736,0.006315310796101888,0.001773404866442104,0.1,{'classifier__C': 0.1},0.5,0.5402298850574713,0.5508982035928144,0.5303760295500952,0.021916213686280755,1
0.0273898442586263,0.0051468834371559006,0.005545377731323242,0.0001714497604073897,1.0,{'classifier__C': 1.0},0.4888888888888889,0.532608695652174,0.5575757575757576,0.5263577807056068,0.02838751997801968,2
0.02577098210652669,0.002446633912486601,0.00617671012878418,0.0009104154056941521,10.0,{'classifier__C': 10.0},0.47398843930635837,0.5287356321839081,0.5476190476190477,0.5167810397031046,0.031225532620605297,3
