threshold,precision,recall,f1_score
0.1,0.19617224880382775,0.8723404255319149,0.3203125
0.15000000000000002,0.22527472527472528,0.8723404255319149,0.35807860262008734
0.2,0.25477707006369427,0.851063829787234,0.39215686274509803
0.25,0.2733812949640288,0.8085106382978723,0.40860215053763443
0.30000000000000004,0.3089430894308943,0.8085106382978723,0.4470588235294118
0.35,0.34234234234234234,0.8085106382978723,0.4810126582278481
0.4,0.3465346534653465,0.7446808510638298,0.47297297297297297
0.45000000000000007,0.38372093023255816,0.7021276595744681,0.49624060150375937
0.5,0.4166666666666667,0.6382978723404256,0.5042016806722689
0.55,0.4264705882352941,0.6170212765957447,0.5043478260869565
0.6,0.49122807017543857,0.5957446808510638,0.5384615384615384
0.65,0.5102040816326531,0.5319148936170213,0.5208333333333334
0.7000000000000001,0.5227272727272727,0.48936170212765956,0.5054945054945055
0.75,0.5526315789473685,0.44680851063829785,0.49411764705882355
0.8,0.6206896551724138,0.3829787234042553,0.47368421052631576
0.85,0.6956521739130435,0.3404255319148936,0.45714285714285713
0.9,0.9166666666666666,0.23404255319148937,0.3728813559322034
