model,cv_f1_mean,cv_f1_std
logistic_regression,0.5100796517541237,0.030365247609071312
random_forest,0.46442908902691504,0.08451805539033289
gradient_boosting,0.5295746943115364,0.07598155163354788
decision_tree,0.43498447394030737,0.09933462408183588
